insert into MeatEntree (meatEntreeID, meatEntreeAddOn) values
(94, "Chicken"),
(95, "Chicken"),
(96, "Chicken"),
(97, "Pork"),
(98, "Pork"),
(99, "Pork"),
(100, "Pork"),
(101, "Pork"),
(102, "Pork"),
(103, "Pork"),
(104, "Pork"),
(105, "Seafood"),
(106, "Seafood"),
(107, "Seafood"),
(108, "Seafood"),
(109, "Seafood"),
(110, "Seafood"),
(111, "Seafood"),
(112, "Seafood"),
(113, "Vegatables"),
(114, "Vegatables"),
(115, "Vegatables"),
(116, "Vegatables"),
(117, "Vegatables"),
(118, "Vegatables"),
(119, "Vegatables"),
(120, "Vegatables"),
(145, "Beef"),
(146, "Beef"),
(147, "Beef"),
(148, "Beef"),
(149, "Beef"),
(150, "Beef"),
(151, "Beef"),
(152, "Beef"),
(153, "Beef"),
(154, "Beef"),
(155, "Beef"),
(156, "Beef"),
(157, "Beef"),
(158, "Beef"),
(159, "Beef"),
(160, "Chef Special"),
(161, "Chef Special"),
(162, "Chef Special"),
(163, "Chef Special"),
(164, "Chef Special"),
(165, "Chef Special"),
(166, "Chef Special"),
(167, "Chef Special"),
(168, "Chef Special"),
(169, "Chef Special"),
(170, "Chef Special"),
(171, "Chef Special"),
(172, "Chef Special"),
(173, "Chef Special"),
(174, "Chef Special"),
(175, "Chicken"),
(176, "Chicken"),
(177, "Chicken"),
(178, "Chicken"),
(179, "Chicken"),
(180, "Chicken"),
(181, "Chicken"),
(182, "Chicken"),
(183, "Chicken"),
(184, "Chicken"),
(185, "Chicken"),
(186, "Chicken"),
(187, "Chicken"),
(188, "Chicken"),
(189, "Chicken"),
(190, "Pork"),
(191, "Pork"),
(192, "Pork"),
(193, "Pork"),
(194, "Pork"),
(195, "Pork"),
(196, "Pork"),
(197, "Pork"),
(198, "Pork"),
(199, "Pork"),
(200, "Pork"),
(201, "Pork"),
(202, "Pork"),
(203, "Pork"),
(204, "Pork"),
(205, "Seafood"),
(206, "Seafood"),
(207, "Seafood"),
(208, "Seafood"),
(209, "Seafood"),
(210, "Seafood"),
(211, "Seafood"),
(212, "Seafood"),
(213, "Seafood"),
(214, "Seafood"),
(215, "Seafood"),
(216, "Seafood"),
(217, "Seafood"),
(218, "Seafood"),
(219, "Seafood"),
(220, "Vegatables"),
(221, "Vegatables"),
(222, "Vegatables"),
(223, "Vegatables"),
(224, "Vegatables"),
(225, "Vegatables"),
(226, "Vegatables"),
(227, "Vegatables"),
(228, "Vegatables"),
(229, "Vegatables"),
(230, "Vegatables"),
(231, "Vegatables"),
(232, "Vegatables"),
(233, "Vegatables"),
(234, "Vegatables"),
(235, "Beef"),
(237, "Beef"),
(247, "Beef"),
(248, "Beef"),
(249, "Beef"),
(250, "Beef"),
(251, "Beef"),
(252, "Beef"),
(253, "Beef"),
(254, "Beef"),
(255, "Beef"),
(256, "Beef"),
(257, "Beef"),
(258, "Beef"),
(259, "Beef"),
(260, "Chef Special"),
(261, "Chef Special"),
(262, "Chef Special"),
(263, "Chef Special"),
(264, "Chef Special"),
(265, "Chef Special"),
(266, "Chef Special"),
(267, "Chef Special"),
(268, "Chef Special"),
(269, "Chef Special"),
(270, "Chef Special"),
(271, "Chef Special"),
(272, "Chef Special"),
(273, "Chef Special"),
(274, "Chef Special"),
(275, "Chicken"),
(276, "Chicken"),
(277, "Chicken"),
(278, "Chicken"),
(279, "Chicken"),
(280, "Chicken"),
(281, "Chicken"),
(282, "Chicken"),
(283, "Chicken"),
(284, "Chicken"),
(285, "Chicken"),
(286, "Chicken"),
(287, "Chicken"),
(288, "Chicken"),
(289, "Chicken"),
(290, "Pork"),
(291, "Pork"),
(292, "Pork"),
(293, "Pork"),
(294, "Pork"),
(295, "Pork"),
(296, "Pork"),
(297, "Pork"),
(298, "Pork"),
(299, "Pork"),
(300, "Pork"),
(301, "Pork"),
(302, "Pork"),
(303, "Pork"),
(304, "Pork"),
(305, "Seafood"),
(306, "Seafood"),
(307, "Seafood"),
(308, "Seafood"),
(309, "Seafood"),
(310, "Seafood"),
(311, "Seafood"),
(312, "Seafood"),
(313, "Seafood"),
(314, "Seafood"),
(315, "Seafood"),
(316, "Seafood"),
(317, "Seafood"),
(318, "Seafood"),
(319, "Seafood"),
(320, "Vegatables"),
(321, "Vegatables"),
(322, "Vegatables"),
(323, "Vegatables"),
(324, "Vegatables"),
(325, "Vegatables"),
(326, "Vegatables"),
(327, "Vegatables"),
(328, "Vegatables"),
(329, "Vegatables"),
(330, "Vegatables"),
(331, "Vegatables"),
(332, "Vegatables"),
(333, "Vegatables"),
(334, "Vegatables"),
(345, "Beef"),
(346, "Beef"),
(347, "Beef"),
(348, "Beef"),
(349, "Beef"),
(350, "Beef"),
(351, "Beef"),
(352, "Beef"),
(353, "Beef"),
(354, "Beef"),
(355, "Beef"),
(356, "Beef"),
(357, "Beef"),
(358, "Beef"),
(359, "Beef"),
(360, "Chef Special"),
(361, "Chef Special"),
(362, "Chef Special"),
(363, "Chef Special"),
(364, "Chef Special"),
(365, "Chef Special"),
(366, "Chef Special"),
(367, "Chef Special"),
(368, "Chef Special"),
(369, "Chef Special"),
(370, "Chef Special"),
(371, "Chef Special"),
(372, "Chef Special"),
(373, "Chef Special"),
(374, "Chef Special"),
(375, "Chicken"),
(376, "Chicken"),
(377, "Chicken"),
(378, "Chicken"),
(379, "Chicken"),
(380, "Chicken"),
(381, "Chicken"),
(382, "Chicken"),
(383, "Chicken"),
(384, "Chicken"),
(385, "Chicken"),
(386, "Chicken"),
(387, "Chicken"),
(388, "Chicken"),
(389, "Chicken"),
(390, "Pork"),
(391, "Pork"),
(392, "Pork"),
(393, "Pork"),
(394, "Pork"),
(395, "Pork"),
(396, "Pork"),
(397, "Pork"),
(398, "Pork"),
(399, "Pork"),
(400, "Pork"),
(401, "Pork"),
(402, "Pork"),
(403, "Pork"),
(404, "Pork"),
(405, "Seafood"),
(406, "Seafood"),
(407, "Seafood"),
(408, "Seafood"),
(409, "Seafood"),
(410, "Seafood"),
(411, "Seafood"),
(412, "Seafood"),
(413, "Seafood"),
(414, "Seafood"),
(415, "Seafood"),
(416, "Seafood"),
(417, "Seafood"),
(418, "Seafood"),
(419, "Seafood"),
(420, "Vegatables"),
(421, "Vegatables"),
(422, "Vegatables"),
(423, "Vegatables"),
(424, "Vegatables"),
(425, "Vegatables"),
(426, "Vegatables"),
(427, "Vegatables"),
(428, "Vegatables"),
(429, "Vegatables"),
(430, "Vegatables"),
(431, "Vegatables"),
(432, "Vegatables"),
(433, "Vegatables"),
(434, "Vegatables");
